Sex,Age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122
Females,50 - 54,2341991,2308904,2258063,2211918,2146114,2089954,2059285,2076890,2120627,2173538,2231352,2285164,2308900,2328799,2351211,2385746,2428785,2466170,2492770,2518986,2534750,2526379,2524330,2506859,2480665,2465707,2452055,2432995,2410919,2383776,2341710,2304271,2271005,2244757,2226167,2217662,2228084,2232983,2246976,2267821,2285265,2278802,2268928,2254551,2238687,2212731,2188441,2167902,2142961,2104177,2077282,2040713,2002262,1959973,1919077,1867794,1827406,1787395,1751910,1723055,1700464,1682933,1670128,1661121,1653904,1647662,1642501,1638371,1635201,1632851,1631083,1629424,1627337,1624522,1620761,1615880,1609502,1601320,1591262,1579307,1565435,1550018,1533475,1516007,1497842,1479209,1460338,1441587,1423227,1405507,1388675,1372990,1358541,1345457,1333730,1323308,1314136,1306166,1299224,1293207,1287957
Females,55 - 59,2353167,2363717,2363368,2346134,2342730,2319910,2281172,2226245,2177151,2110073,2053806,2024056,2041886,2085459,2137996,2195270,2248608,2272394,2292506,2315120,2349690,2392667,2430019,2456766,2483116,2499137,2491332,2489755,2472940,2447515,2433213,2420148,2401731,2380272,2353785,2312565,2275905,2243403,2217827,2199795,2191738,2202438,2207641,2221828,2242799,2260392,2254308,2244822,2230878,2215472,2190056,2166268,2146174,2121710,2083527,2057129,2021095,1983193,1941471,1901106,1850446,1810570,1771068,1736045,1707588,1685346,1668121,1655589,1646808,1639808,1633766,1628801,1624857,1621865,1619688,1618077,1616575,1614642,1611985,1608388,1603677,1597475,1589467,1579591,1567826,1554150,1538940,1522596,1505332,1487372,1468936,1450262,1431703,1413532,1395994,1379336,1363812,1349519,1336578,1324992,1314694
Females,60 - 64,2076554,2136039,2196037,2251951,2288601,2308013,2314213,2310536,2291195,2286308,2263385,2225963,2172767,2125316,2060428,2006084,1977689,1995885,2039292,2091379,2147970,2200708,2224605,2245033,2267924,2302520,2345384,2382664,2409577,2436091,2452452,2445424,2444495,2428581,2404215,2390811,2378561,2361034,2340431,2314852,2274808,2239228,2207779,2183119,2165858,2158420,2169494,2175112,2189561,2210698,2228491,2222928,2213967,2200621,2185851,2161179,2138086,2118615,2094822,2057463,2031747,1996463,1959320,1918384,1878767,1828972,1789813,1751010,1716634,1688741,1666988,1650190,1638026,1629563,1622856,1617107,1612412,1608722,1605975,1604022,1602638,1601357,1599649,1597217,1593844,1589364,1583398,1575632,1566010,1554513,1541112,1526181,1510123,1493139,1475461,1457308,1438910,1420622,1402714,1385427,1369005
Females,65 - 69,1759130,1796599,1839245,1892079,1948717,2008322,2064172,2120712,2173667,2208498,2227265,2233947,2231148,2213211,2209323,2187957,2152555,2101920,2056847,1995049,1943399,1916891,1935622,1978833,2030349,2086060,2138018,2162072,2182916,2206161,2240766,2283444,2320601,2347721,2374432,2391239,2385245,2385184,2370482,2347545,2335347,2324186,2307853,2288409,2264059,2225604,2191491,2161459,2138043,2121816,2115215,2126788,2132961,2147760,2169102,2187156,2182298,2174052,2161509,2147596,2123939,2101792,2083171,2060281,2024052,1999267,1964999,1928899,1889039,1850437,1801822,1763645,1725803,1692305,1665177,1644094,1627874,1616212,1608196,1601896,1596528,1592198,1588857,1586446,1584811,1583728,1582745,1581339,1579209,1576142,1571976,1566335,1558910,1549642,1538501,1525476,1510929,1495260,1478662,1461370,1443603
Females,70 - 74,1673464,1634460,1622085,1617116,1630683,1659860,1695518,1736102,1786535,1841035,1898800,1953448,2008640,2060265,2094590,2113656,2121253,2119940,2104217,2101969,2082959,2050514,2003531,1961828,1904359,1856468,1832588,1852079,1895026,1945741,2000179,2050986,2075211,2096599,2120304,2154877,2197250,2234179,2261544,2288488,2305864,2301283,2302387,2289328,2268342,2257804,2248131,2233449,2215602,2192944,2156699,2124619,2096561,2074862,2060069,2054615,2066865,2073803,2089070,2110682,2129077,2125181,2117913,2106479,2093758,2071516,2050679,2033227,2011600,1976943,1953471,1920630,1885982,1847618,1810436,1763479,1726684,1690201,1657941,1631889,1611739,1596338,1585386,1577983,1572252,1567429,1563615,1560765,1558814,1557625,1556968,1556406,1555418,1553706,1551074,1547352,1542167,1535214,1526443,1515816,1503316
Females,75 - 79,1454495,1520436,1551763,1574532,1584029,1515622,1482208,1472157,1468846,1482735,1511191,1546141,1585704,1634123,1686448,1741913,1794564,1847635,1897238,1930806,1950357,1959373,1960315,1947887,1948086,1932498,1904274,1862483,1825517,1774176,1731576,1711381,1731876,1774373,1823835,1876330,1925353,1949710,1971792,1996064,2030493,2072340,2108842,2136464,2163647,2181763,2179128,2181832,2171078,2152862,2144678,2137105,2124774,2109194,2088929,2055858,2026705,2001483,1982231,1969485,1965665,1978861,1986875,2002786,2024741,2043585,2041065,2035184,2025325,2014321,1994130,1975187,1959426,1939619,1907251,1885672,1854900,1822368,1786200,1751095,1706586,1671810,1637309,1606859,1582388,1563614,1549414,1539500,1532998,1528101,1524066,1520999,1518861,1517590,1517048,1517014,1517059,1516681,1515588,1513582,1510504
Females,80 - 84,961518,987149,1025906,1064196,1114540,1221697,1281784,1310614,1330800,1338867,1284495,1259398,1253793,1253703,1268494,1295912,1329355,1366874,1411717,1460206,1511667,1560801,1610259,1656491,1688621,1708632,1719509,1723559,1715760,1719328,1708503,1686194,1651750,1621482,1579002,1544041,1529123,1550935,1592578,1639955,1689246,1735266,1759546,1782480,1807399,1841384,1882217,1917803,1945579,1972891,1991901,1992013,1996932,1989482,1975287,1970538,1965998,1957116,1944844,1928070,1899730,1874945,1853978,1838374,1828653,1827227,1841773,1851354,1868155,1890519,1909926,1909421,1905550,1898017,1889595,1872511,1856424,1843184,1826122,1797252,1778560,1750934,1721638,1688841,1656911,1616192,1584521,1553088,1525439,1503416,1486762,1474420,1466100,1460980,1457352,1454529,1452615,1451568,1451338,1451780,1452700
Females,85 - 89,638445,651555,665804,674079,671721,682453,707088,740814,773194,812800,898348,946904,970682,986447,992419,956924,942830,942889,946717,961980,986968,1017094,1050406,1088878,1130580,1175004,1217826,1260912,1301234,1330373,1350201,1362949,1370688,1368842,1376517,1371944,1357694,1333529,1312660,1282772,1258606,1250964,1274030,1313592,1357024,1400790,1441668,1465268,1488876,1514125,1546769,1585382,1618963,1646367,1673320,1693181,1697043,1704930,1702174,1693824,1694002,1693804,1689926,1682504,1670920,1649745,1631574,1617027,1606864,1601623,1603687,1620045,1631801,1649700,1672389,1692395,1694848,1693952,1689931,1685439,1673152,1661453,1652097,1639290,1615919,1601753,1579105,1554937,1527506,1500636,1466000,1439304,1412803,1389655,1371554,1358292,1348907,1343122,1340184,1338568,1337657
Females,90 - 94,308293,307735,310157,315884,324033,333967,345505,355925,362646,362898,372030,390462,414351,436279,460835,516426,547975,563454,572917,576286,560913,557856,562747,569390,583085,602809,626257,651697,679810,710453,743349,775505,807867,838183,861162,878450,891351,901545,905268,915978,917613,912200,900006,890045,875245,863912,864281,886899,921330,957242,991554,1023539,1044429,1067058,1090865,1119725,1153240,1182156,1207224,1231882,1251273,1258993,1269597,1272216,1270994,1276933,1281737,1283953,1282504,1277448,1265880,1256559,1250611,1247608,1248100,1254401,1272378,1286415,1304925,1326992,1346803,1352872,1355631,1356135,1356924,1351409,1345857,1341830,1335003,1319746,1312153,1296837,1280308,1260968,1241700,1216537,1197457,1178585,1162391,1150321,1142236
Females,95 - 99,87963,84959,84518,85616,87066,88923,90942,93426,97180,101559,106299,111290,115618,118613,119218,124020,132867,143618,152809,162294,186123,198948,204837,208149,209480,207005,209084,213887,218949,226926,237401,249716,262790,276609,291908,308556,325031,341622,357161,369450,379611,388109,395952,400772,409515,413259,413376,410424,408815,406110,404677,409284,425699,447959,469458,488399,506184,519668,535857,552528,571515,593282,611614,628700,645580,659674,667659,677318,682658,686407,695120,702169,708052,710779,711197,709118,708396,710379,713436,718178,726563,742545,755614,770880,788022,803725,811368,816223,820300,825680,827062,827710,828922,828549,823189,823071,816849,810076,801449,792427,780555
